Name,Team,Year,W,L,ERA,Games,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
1BryanB ShawShawP1‌‌‌,CLE,2021.0,6.0,7.0,3.49,81.0,0.0,0.0,0.0,2.0,8.0,77.1,69.0,33.0,30.0,10.0,1.0,38.0,71.0,1.38,0.235
2TylerT RogersRogersP2‌‌‌,SF,2021.0,7.0,1.0,2.22,80.0,0.0,0.0,0.0,13.0,19.0,81.0,74.0,23.0,20.0,5.0,5.0,13.0,55.0,1.07,0.243
3TimT HillHillP3‌‌‌,SD,2021.0,6.0,6.0,3.62,78.0,0.0,0.0,0.0,1.0,6.0,59.2,51.0,34.0,24.0,9.0,6.0,23.0,56.0,1.24,0.23
3YusmeiroY PetitPetitP3‌‌‌,OAK,2021.0,8.0,3.0,3.92,78.0,0.0,0.0,0.0,2.0,8.0,78.0,69.0,35.0,34.0,12.0,1.0,12.0,37.0,1.04,0.233
5SteveS CishekCishekP5‌‌‌,LAA,2021.0,0.0,2.0,3.42,74.0,0.0,0.0,0.0,0.0,5.0,68.1,61.0,32.0,26.0,2.0,6.0,41.0,64.0,1.49,0.238
5HectorH NerisNerisP5‌‌‌,PHI,2021.0,4.0,7.0,3.63,74.0,0.0,0.0,0.0,12.0,19.0,74.1,55.0,34.0,30.0,12.0,4.0,32.0,98.0,1.17,0.202
7GiovannyG GallegosGallegosP7‌‌‌,STL,2021.0,6.0,5.0,3.02,73.0,0.0,0.0,0.0,14.0,22.0,80.1,51.0,28.0,27.0,6.0,6.0,20.0,95.0,0.88,0.183
8JakeJ BrentzBrentzP8‌‌‌,KC,2021.0,5.0,2.0,3.66,72.0,0.0,0.0,0.0,2.0,7.0,64.0,45.0,32.0,26.0,7.0,6.0,37.0,76.0,1.28,0.197
8AdamA CimberCimberP8‌‌‌,TOR,2021.0,3.0,4.0,2.26,72.0,0.0,0.0,0.0,1.0,2.0,71.2,61.0,24.0,18.0,2.0,7.0,16.0,51.0,1.07,0.234
8MikeM MayersMayersP8‌‌‌,LAA,2021.0,5.0,5.0,3.84,72.0,2.0,0.0,0.0,2.0,5.0,75.0,71.0,32.0,32.0,11.0,3.0,26.0,90.0,1.29,0.25
8HanselH RoblesRoblesP8‌‌‌,BOS,2021.0,3.0,5.0,4.43,72.0,0.0,0.0,0.0,14.0,16.0,69.0,58.0,39.0,34.0,8.0,5.0,37.0,76.0,1.38,0.228
8RyneR StanekStanekP8‌‌‌,HOU,2021.0,3.0,5.0,3.42,72.0,0.0,0.0,0.0,2.0,4.0,68.1,46.0,32.0,26.0,8.0,5.0,37.0,83.0,1.21,0.186
