Name,TEAMTEAM,WW,LL,ERAERA,Games,GSGS,CGCG,SHOSHO,SVSV,SVOSVO,IPIP,HH,RR,ERER,HRHR,HBHB,BBBB,SOSO,WHIPWHIP,AVGAVG
1BryanB ShawShawP1‌‌‌,CLE,6,7,3.49,81,0,0,0,2,8,77.1,69,33,30,10,1,38,71,1.38,.235
2TylerT RogersRogersP2‌‌‌,SF,7,1,2.22,80,0,0,0,13,19,81.0,74,23,20,5,5,13,55,1.07,.243
3TimT HillHillP3‌‌‌,SD,6,6,3.62,78,0,0,0,1,6,59.2,51,34,24,9,6,23,56,1.24,.230
3YusmeiroY PetitPetitP3‌‌‌,OAK,8,3,3.92,78,0,0,0,2,8,78.0,69,35,34,12,1,12,37,1.04,.233
5SteveS CishekCishekP5‌‌‌,LAA,0,2,3.42,74,0,0,0,0,5,68.1,61,32,26,2,6,41,64,1.49,.238
5HectorH NerisNerisP5‌‌‌,PHI,4,7,3.63,74,0,0,0,12,19,74.1,55,34,30,12,4,32,98,1.17,.202
7GiovannyG GallegosGallegosP7‌‌‌,STL,6,5,3.02,73,0,0,0,14,22,80.1,51,28,27,6,6,20,95,0.88,.183
8JakeJ BrentzBrentzP8‌‌‌,KC,5,2,3.66,72,0,0,0,2,7,64.0,45,32,26,7,6,37,76,1.28,.197
8AdamA CimberCimberP8‌‌‌,TOR,3,4,2.26,72,0,0,0,1,2,71.2,61,24,18,2,7,16,51,1.07,.234
8MikeM MayersMayersP8‌‌‌,LAA,5,5,3.84,72,2,0,0,2,5,75.0,71,32,32,11,3,26,90,1.29,.250
8HanselH RoblesRoblesP8‌‌‌,BOS,3,5,4.43,72,0,0,0,14,16,69.0,58,39,34,8,5,37,76,1.38,.228
8RyneR StanekStanekP8‌‌‌,HOU,3,5,3.42,72,0,0,0,2,4,68.1,46,32,26,8,5,37,83,1.21,.186
8BlakeB TreinenTreinenP8‌‌‌,LAD,6,5,1.99,72,0,0,0,7,11,72.1,46,20,16,5,3,25,85,0.98,.179
14ScottS BarlowBarlowP14‌‌‌,KC,5,3,2.42,71,0,0,0,16,22,74.1,61,20,20,4,2,28,91,1.20,.223
14BradB BoxbergerBoxbergerP14‌‌‌,MIL,5,4,3.34,71,0,0,0,4,9,64.2,44,26,24,8,6,25,83,1.07,.192
14GenesisG CabreraCabreraP14‌‌‌,STL,4,5,3.73,71,0,0,0,0,3,70.0,52,31,29,3,5,36,77,1.26,.209
14AndrewA ChafinChafinP14‌‌‌,OAK,2,4,1.83,71,0,0,0,5,8,68.2,45,14,14,4,2,19,64,0.93,.186
14EmmanuelE ClaseClaseP14‌‌‌,CLE,4,5,1.29,71,0,0,0,24,29,69.2,51,18,10,2,0,16,74,0.96,.195
14LukeL JacksonJacksonP14‌‌‌,ATL,2,2,1.98,71,0,0,0,0,4,63.2,45,15,14,6,2,29,70,1.16,.198
14WillW SmithSmithP14‌‌‌,ATL,3,7,3.44,71,0,0,0,37,43,68.0,49,27,26,11,5,28,87,1.13,.198
14LouL TrivinoTrivinoP14‌‌‌,OAK,7,8,3.18,71,0,0,0,22,26,73.2,58,32,26,5,4,34,67,1.25,.216
22AnthonyA BassBassP22‌‌‌,MIA,3,9,3.82,70,1,0,0,0,4,61.1,55,33,26,11,3,24,58,1.29,.241
22TylerT KinleyKinleyP22‌‌‌,COL,3,2,4.73,70,0,0,0,0,4,70.1,59,37,37,12,2,26,68,1.21,.223
24MiguelM CastroCastroP24‌‌‌,NYM,3,4,3.45,69,2,0,0,0,2,70.1,48,30,27,7,6,43,77,1.29,.189
24LiamL HendriksHendriksP24‌‌‌,CWS,8,3,2.54,69,0,0,0,38,44,71.0,45,23,20,11,1,7,113,0.73,.174
1ScottS BarlowBarlowP1‌‌‌,KC,2,1,4.20,32,0,0,0,2,2,30.0,27,14,14,4,2,9,39,1.20,.239
2JimmyJ CorderoCorderoP2‌‌‌,CWS,1,2,6.08,30,0,0,0,0,1,26.2,33,21,18,2,3,9,22,1.58,.300
3JoseJ CisneroCisneroP3‌‌‌,DET,3,3,3.03,29,0,0,0,0,2,29.2,23,10,10,1,3,10,34,1.11,.209
3MikeM MayersMayersP3‌‌‌,LAA,2,0,2.10,29,0,0,0,2,4,30.0,18,10,7,2,1,9,43,0.90,.162
3TylerT RogersRogersP3‌‌‌,SF,3,3,4.50,29,0,0,0,3,6,28.0,31,16,14,2,4,6,27,1.32,.277
6ShaneS GreeneGreeneP6‌‌‌,ATL,1,0,2.60,28,0,0,0,0,0,27.2,22,9,8,2,2,9,21,1.12,.229
6GregG HollandHollandP6‌‌‌,KC,3,0,1.91,28,0,0,0,6,6,28.1,20,8,6,1,3,7,31,0.95,.200
8TyT ButtreyButtreyP8‌‌‌,LAA,2,3,5.81,27,0,0,0,5,9,26.1,28,18,17,4,1,9,18,1.41,.283
8PeteP FairbanksFairbanksP8‌‌‌,TB,6,3,2.70,27,2,0,0,0,3,26.2,23,9,8,2,2,14,39,1.39,.228
8JonathanJ HernándezHernandezP8‌‌‌,TEX,5,1,2.90,27,0,0,0,0,0,31.0,24,10,10,2,4,8,31,1.03,.218
8KenleyK JansenJansenP8‌‌‌,LAD,3,1,3.33,27,0,0,0,11,13,24.1,19,11,9,2,3,9,33,1.15,.211
8JamesJ KarinchakKarinchakP8‌‌‌,CLE,1,2,2.67,27,0,0,0,1,4,27.0,14,9,8,1,0,16,53,1.11,.159
8GregoryG SotoSotoP8‌‌‌,DET,0,1,4.30,27,0,0,0,2,3,23.0,16,11,11,2,2,13,29,1.26,.193
8ChrisC StrattonStrattonP8‌‌‌,PIT,2,1,3.90,27,0,0,0,0,2,30.0,26,19,13,3,0,13,39,1.30,.224
8BlakeB TreinenTreinenP8‌‌‌,LAD,3,3,3.86,27,0,0,0,1,2,25.2,23,15,11,1,2,8,22,1.21,.240
16AnthonyA BassBassP16‌‌‌,TOR,2,3,3.51,26,0,0,0,7,9,25.2,17,13,10,2,0,9,21,1.01,.189
16MiguelM CastroCastroP16‌‌‌,NYM,2,2,4.01,26,0,0,0,1,3,24.2,28,12,11,4,1,13,38,1.66,.277
16TylerT ClippardClippardP16‌‌‌,MIN,2,1,2.77,26,2,0,0,0,2,26.0,19,9,8,2,0,4,26,0.88,.202
16StefanS CrichtonCrichtonP16‌‌‌,ARI,2,2,2.42,26,0,0,0,5,7,26.0,22,7,7,1,4,9,23,1.19,.229
16EdwinE DíazDiazP16‌‌‌,NYM,2,1,1.75,26,0,0,0,6,10,25.2,18,6,5,2,2,14,50,1.25,.191
16CarlosC EstévezEstevezP16‌‌‌,COL,1,3,7.50,26,0,0,0,1,4,24.0,33,21,20,6,3,9,27,1.75,.317
16BryanB GarciaGarciaP16‌‌‌,DET,2,1,1.66,26,0,0,0,4,6,21.2,18,6,4,0,1,10,12,1.29,.222
16YusmeiroY PetitPetitP16‌‌‌,OAK,2,1,1.66,26,0,0,0,0,0,21.2,19,4,4,3,0,5,17,1.11,.232
16JoshJ StaumontStaumontP16‌‌‌,KC,2,1,2.45,26,0,0,0,0,0,25.2,20,8,7,2,3,16,37,1.40,.215
25RyanR BrasierBrasierP25‌‌‌,BOS,1,0,3.96,25,1,0,0,0,2,25.0,24,12,11,2,0,11,30,1.40,.245
1AlexA ClaudioClaudioP1‌‌‌,MIL,2,2,4.06,83,0,0,0,0,3,62.0,57,29,28,8,6,24,44,1.31,.246
2AdamA KolarekKolarekP2‌‌‌,LAD,6,3,3.27,80,0,0,0,1,1,55.0,48,22,20,7,3,16,45,1.16,.229
2YusmeiroY PetitPetitP2‌‌‌,OAK,5,3,2.71,80,0,0,0,0,2,83.0,57,25,25,11,0,10,71,0.81,.194
4WanderW SueroSueroP4‌‌‌,WSH,6,9,4.54,78,0,0,0,1,7,71.1,64,36,36,5,3,26,81,1.26,.242
5AndrewA ChafinChafinP5‌‌‌,ARI,2,2,3.76,77,0,0,0,0,4,52.2,52,23,22,6,2,18,68,1.33,.257
6JakeJ DiekmanDiekmanP6‌‌‌,OAK,1,7,4.65,76,0,0,0,0,2,62.0,49,34,32,3,11,39,84,1.42,.215
6CraigC StammenStammenP6‌‌‌,SD,8,7,3.29,76,0,0,0,4,13,82.0,80,36,30,13,2,15,73,1.16,.251
8LiamL HendriksHendriksP8‌‌‌,OAK,4,4,1.80,75,2,0,0,25,32,85.0,61,18,17,5,2,21,124,0.96,.201
