Name,TEAMTEAM,WW,LL,ERAERA,Games,GSGS,CGCG,SHOSHO,SVSV,SVOSVO,IPIP,HH,RR,ERER,HRHR,HBHB,BBBB,SOSO,WHIPWHIP,AVGAVG
1BryanB ShawShawP1‌‌‌,CLE,6,7,3.49,81,0,0,0,2,8,77.1,69,33,30,10,1,38,71,1.38,.235
2TylerT RogersRogersP2‌‌‌,SF,7,1,2.22,80,0,0,0,13,19,81.0,74,23,20,5,5,13,55,1.07,.243
3TimT HillHillP3‌‌‌,SD,6,6,3.62,78,0,0,0,1,6,59.2,51,34,24,9,6,23,56,1.24,.230
3YusmeiroY PetitPetitP3‌‌‌,OAK,8,3,3.92,78,0,0,0,2,8,78.0,69,35,34,12,1,12,37,1.04,.233
5SteveS CishekCishekP5‌‌‌,LAA,0,2,3.42,74,0,0,0,0,5,68.1,61,32,26,2,6,41,64,1.49,.238
5HectorH NerisNerisP5‌‌‌,PHI,4,7,3.63,74,0,0,0,12,19,74.1,55,34,30,12,4,32,98,1.17,.202
7GiovannyG GallegosGallegosP7‌‌‌,STL,6,5,3.02,73,0,0,0,14,22,80.1,51,28,27,6,6,20,95,0.88,.183
8JakeJ BrentzBrentzP8‌‌‌,KC,5,2,3.66,72,0,0,0,2,7,64.0,45,32,26,7,6,37,76,1.28,.197
8AdamA CimberCimberP8‌‌‌,TOR,3,4,2.26,72,0,0,0,1,2,71.2,61,24,18,2,7,16,51,1.07,.234
8MikeM MayersMayersP8‌‌‌,LAA,5,5,3.84,72,2,0,0,2,5,75.0,71,32,32,11,3,26,90,1.29,.250
8HanselH RoblesRoblesP8‌‌‌,BOS,3,5,4.43,72,0,0,0,14,16,69.0,58,39,34,8,5,37,76,1.38,.228
8RyneR StanekStanekP8‌‌‌,HOU,3,5,3.42,72,0,0,0,2,4,68.1,46,32,26,8,5,37,83,1.21,.186
8BlakeB TreinenTreinenP8‌‌‌,LAD,6,5,1.99,72,0,0,0,7,11,72.1,46,20,16,5,3,25,85,0.98,.179
14ScottS BarlowBarlowP14‌‌‌,KC,5,3,2.42,71,0,0,0,16,22,74.1,61,20,20,4,2,28,91,1.20,.223
14BradB BoxbergerBoxbergerP14‌‌‌,MIL,5,4,3.34,71,0,0,0,4,9,64.2,44,26,24,8,6,25,83,1.07,.192
14GenesisG CabreraCabreraP14‌‌‌,STL,4,5,3.73,71,0,0,0,0,3,70.0,52,31,29,3,5,36,77,1.26,.209
14AndrewA ChafinChafinP14‌‌‌,OAK,2,4,1.83,71,0,0,0,5,8,68.2,45,14,14,4,2,19,64,0.93,.186
14EmmanuelE ClaseClaseP14‌‌‌,CLE,4,5,1.29,71,0,0,0,24,29,69.2,51,18,10,2,0,16,74,0.96,.195
14LukeL JacksonJacksonP14‌‌‌,ATL,2,2,1.98,71,0,0,0,0,4,63.2,45,15,14,6,2,29,70,1.16,.198
14WillW SmithSmithP14‌‌‌,ATL,3,7,3.44,71,0,0,0,37,43,68.0,49,27,26,11,5,28,87,1.13,.198
14LouL TrivinoTrivinoP14‌‌‌,OAK,7,8,3.18,71,0,0,0,22,26,73.2,58,32,26,5,4,34,67,1.25,.216
22AnthonyA BassBassP22‌‌‌,MIA,3,9,3.82,70,1,0,0,0,4,61.1,55,33,26,11,3,24,58,1.29,.241
22TylerT KinleyKinleyP22‌‌‌,COL,3,2,4.73,70,0,0,0,0,4,70.1,59,37,37,12,2,26,68,1.21,.223
24MiguelM CastroCastroP24‌‌‌,NYM,3,4,3.45,69,2,0,0,0,2,70.1,48,30,27,7,6,43,77,1.29,.189
24LiamL HendriksHendriksP24‌‌‌,CWS,8,3,2.54,69,0,0,0,38,44,71.0,45,23,20,11,1,7,113,0.73,.174
24ClayC HolmesHolmesP24‌‌‌,NYY,8,4,3.60,69,0,0,0,0,2,70.0,53,32,28,5,4,29,78,1.17,.206
24KenleyK JansenJansenP24‌‌‌,LAD,4,4,2.22,69,0,0,0,38,43,69.0,36,21,17,4,2,36,86,1.04,.153
24TylerT MatzekMatzekP24‌‌‌,ATL,0,4,2.57,69,0,0,0,0,1,63.0,40,19,18,3,2,37,77,1.22,.182
24AdamA OttavinoOttavinoP24‌‌‌,BOS,7,3,4.21,69,0,0,0,11,17,62.0,55,31,29,5,7,35,71,1.45,.239
24AlexA ReyesReyesP24‌‌‌,STL,10,8,3.24,69,0,0,0,29,34,72.1,46,32,26,9,2,52,95,1.35,.176
31RichardR BleierBleierP31‌‌‌,MIA,3,2,2.95,68,0,0,0,0,6,58.0,51,20,19,4,3,6,44,0.98,.241
31KyleK FinneganFinneganP31‌‌‌,WSH,5,9,3.55,68,0,0,0,11,15,66.0,64,39,26,9,2,34,68,1.48,.251
31DylanD FloroFloroP31‌‌‌,MIA,6,6,2.81,68,0,0,0,15,21,64.0,53,25,20,2,0,25,62,1.22,.217
31BradB HandHandP31‌‌‌,NYM,6,7,3.90,68,0,0,0,21,29,64.2,56,39,28,9,6,26,61,1.27,.235
31TrevorT MayMayP31‌‌‌,NYM,7,3,3.59,68,0,0,0,4,7,62.2,55,29,25,10,0,24,83,1.26,.227
31ChrisC StrattonStrattonP31‌‌‌,PIT,7,1,3.63,68,0,0,0,8,13,79.1,70,34,32,9,1,33,86,1.30,.233
37JoseJ ÁlvarezAlvarezP37‌‌‌,SF,5,2,2.37,67,1,0,0,0,0,64.2,53,23,17,2,0,19,42,1.11,.217
37DanielD BardBardP37‌‌‌,COL,7,8,5.21,67,0,0,0,20,28,65.2,69,41,38,8,7,36,80,1.60,.265
37JoseJ CisneroCisneroP37‌‌‌,DET,4,4,3.65,67,0,0,0,4,9,61.2,51,34,25,6,4,31,62,1.33,.226
37AlexA ColoméColomeP37‌‌‌,MIN,4,4,4.15,67,0,0,0,17,24,65.0,68,41,30,8,4,23,58,1.40,.264
37JakeJ DiekmanDiekmanP37‌‌‌,OAK,3,3,3.86,67,0,0,0,7,14,60.2,47,29,26,10,4,34,83,1.34,.211
37ChadC GreenGreenP37‌‌‌,NYY,10,7,3.12,67,0,0,0,6,12,83.2,57,32,29,14,0,17,99,0.88,.193
37EmilioE PagánPaganP37‌‌‌,SD,4,3,4.83,67,0,0,0,0,5,63.1,56,35,34,16,2,18,69,1.17,.231
37CraigC StammenStammenP37‌‌‌,SD,6,3,3.06,67,4,0,0,1,2,88.1,79,31,30,13,3,13,83,1.04,.235
45BrettB MartinMartinP45‌‌‌,TEX,4,4,3.18,66,0,0,0,0,2,62.1,67,31,22,5,0,14,42,1.30,.272
45AnthonyA MisiewiczMisiewiczP45‌‌‌,SEA,5,5,4.61,66,0,0,0,0,5,54.2,61,30,28,7,1,15,53,1.39,.280
45SergioS RomoRomoP45‌‌‌,OAK,1,1,4.67,66,0,0,0,3,7,61.2,56,33,32,9,2,21,60,1.25,.238
48AustinA AdamsAdamsP48‌‌‌,SD,3,2,4.10,65,0,0,0,0,1,52.2,28,28,24,1,24,35,76,1.20,.159
48JeurysJ FamiliaFamiliaP48‌‌‌,NYM,9,4,3.94,65,0,0,0,1,7,59.1,57,31,26,10,2,27,72,1.42,.248
48CodiC HeuerHeuerP48‌‌‌,CHC,7,4,4.28,65,0,0,0,2,5,67.1,65,34,32,7,2,23,56,1.31,.261
48RaiselR IglesiasIglesiasP48‌‌‌,LAA,7,5,2.57,65,0,0,0,34,39,70.0,53,25,20,11,1,12,103,0.93,.207
48AaronA LoupLoupP48‌‌‌,NYM,6,0,0.95,65,2,0,0,0,4,56.2,37,9,6,1,4,16,57,0.94,.192
48PhilP MatonMatonP48‌‌‌,HOU,6,0,4.73,65,1,0,0,0,4,66.2,65,36,35,6,6,32,85,1.46,.256
48RyanR TeperaTeperaP48‌‌‌,CWS,0,2,2.79,65,0,0,0,2,5,61.1,35,19,19,4,4,19,74,0.88,.164
55JoseJ AlvaradoAlvaradoP55‌‌‌,PHI,7,1,4.20,64,0,0,0,5,8,55.2,42,30,26,5,7,47,68,1.60,.213
55TylerT DuffeyDuffeyP55‌‌‌,MIN,3,3,3.18,64,0,0,0,3,5,62.1,48,25,22,4,2,28,61,1.22,.216
55CarlosC EstévezEstevezP55‌‌‌,COL,3,5,4.38,64,0,0,0,11,17,61.2,71,32,30,8,2,21,60,1.49,.293
55MarkM MelanconMelanconP55‌‌‌,SD,4,3,2.23,64,0,0,0,39,45,64.2,54,21,16,4,1,25,59,1.22,.228
